ticker,secID,secShortName,exchangeCD,listStatusCD,listDate,delistDate
000004,000004.XSHE,*ST国华,XSHE,L,1990-12-01,
000430,000430.XSHE,ST张家界,XSHE,L,1996-08-29,
000488,000488.XSHE,ST晨鸣,XSHE,L,2000-11-20,
000504,000504.XSHE,*ST生物,XSHE,L,1992-12-08,
000518,000518.XSHE,*ST四环,XSHE,L,1993-09-08,
000595,000595.XSHE,*ST宝实,XSHE,L,1996-04-19,
000608,000608.XSHE,*ST阳光,XSHE,L,1996-09-19,
000609,000609.XSHE,ST中迪,XSHE,L,1996-10-10,
000615,000615.XSHE,*ST美谷,XSHE,L,1996-10-16,
000638,000638.XSHE,*ST万方,XSHE,L,1996-11-26,
000656,000656.XSHE,*ST金科,XSHE,L,1996-11-28,
000668,000668.XSHE,*ST荣控,XSHE,L,1996-12-10,
000669,000669.XSHE,ST金鸿,XSHE,L,1996-12-10,
000691,000691.XSHE,*ST亚太,XSHE,L,1997-02-28,
000697,000697.XSHE,ST炼石,XSHE,L,1997-03-25,
000698,000698.XSHE,ST沈化,XSHE,L,1997-02-20,
000711,000711.XSHE,ST京蓝,XSHE,L,1997-04-11,
000736,000736.XSHE,*ST中地,XSHE,L,1997-04-25,
000752,000752.XSHE,ST西发,XSHE,L,1997-06-25,
000793,000793.XSHE,*ST华闻,XSHE,L,1997-07-29,
000820,000820.XSHE,*ST节能,XSHE,L,1998-06-30,
000821,000821.XSHE,ST京机,XSHE,L,1998-06-26,
000903,000903.XSHE,ST云动,XSHE,L,1999-04-15,
000908,000908.XSHE,*ST景峰,XSHE,L,1999-02-03,
000909,000909.XSHE,ST数源,XSHE,L,1999-05-07,
000929,000929.XSHE,*ST兰黄,XSHE,L,1999-06-23,
000972,000972.XSHE,*ST中基,XSHE,L,2000-09-26,
001270,001270.XSHE,*ST铖昌,XSHE,L,2022-06-06,
002005,002005.XSHE,ST德豪,XSHE,L,2004-06-25,
002024,002024.XSHE,ST易购,XSHE,L,2004-07-21,
002047,002047.XSHE,*ST宝鹰,XSHE,L,2005-05-31,
002055,002055.XSHE,ST得润,XSHE,L,2006-07-25,
002058,002058.XSHE,*ST威尔,XSHE,L,2006-08-02,
002076,002076.XSHE,*ST星光,XSHE,L,2006-10-25,
002122,002122.XSHE,ST汇洲,XSHE,L,2007-03-28,
002168,002168.XSHE,*ST惠程,XSHE,L,2007-09-19,
002199,002199.XSHE,*ST东晶,XSHE,L,2007-12-21,
002200,002200.XSHE,*ST交投,XSHE,L,2007-12-21,
002211,002211.XSHE,ST宏达,XSHE,L,2008-02-01,
002214,002214.XSHE,*ST大立,XSHE,L,2008-02-18,
002231,002231.XSHE,*ST奥维,XSHE,L,2008-05-12,
002253,002253.XSHE,*ST智胜,XSHE,L,2008-06-23,
002289,002289.XSHE,*ST宇顺,XSHE,L,2009-09-03,
002305,002305.XSHE,*ST南置,XSHE,L,2009-11-06,
002306,002306.XSHE,*ST云网,XSHE,L,2009-11-11,
002424,002424.XSHE,ST百灵,XSHE,L,2010-06-03,
002485,002485.XSHE,ST雪发,XSHE,L,2010-10-15,
002496,002496.XSHE,*ST辉丰,XSHE,L,2010-11-09,
002512,002512.XSHE,ST达华,XSHE,L,2010-12-03,
002528,002528.XSHE,ST英飞拓,XSHE,L,2010-12-24,
002529,002529.XSHE,*ST海源,XSHE,L,2010-12-24,
002569,002569.XSHE,*ST步森,XSHE,L,2011-04-12,
002581,002581.XSHE,ST未名,XSHE,L,2011-05-20,
002586,002586.XSHE,ST围海,XSHE,L,2011-06-02,
002592,002592.XSHE,ST八菱,XSHE,L,2011-11-11,
002620,002620.XSHE,ST瑞和,XSHE,L,2011-09-29,
002630,002630.XSHE,ST华西,XSHE,L,2011-11-11,
002647,002647.XSHE,*ST仁东,XSHE,L,2011-12-28,
002650,002650.XSHE,ST加加,XSHE,L,2012-01-06,
002656,002656.XSHE,*ST摩登,XSHE,L,2012-02-28,
002689,002689.XSHE,ST远智,XSHE,L,2012-07-17,
002693,002693.XSHE,*ST双成,XSHE,L,2012-08-08,
002713,002713.XSHE,*ST东易,XSHE,L,2014-02-19,
002717,002717.XSHE,ST岭南,XSHE,L,2014-02-19,
002731,002731.XSHE,ST萃华,XSHE,L,2014-11-04,
002742,002742.XSHE,*ST三圣,XSHE,L,2015-02-17,
002762,002762.XSHE,*ST金比,XSHE,L,2015-06-10,
002789,002789.XSHE,*ST建艺,XSHE,L,2016-03-11,
002808,002808.XSHE,*ST恒久,XSHE,L,2016-08-12,
002816,002816.XSHE,*ST和科,XSHE,L,2016-10-25,
002822,002822.XSHE,ST中装,XSHE,L,2016-11-29,
002848,002848.XSHE,*ST高斯,XSHE,L,2017-02-13,
002868,002868.XSHE,*ST绿康,XSHE,L,2017-05-03,
002872,002872.XSHE,ST天圣,XSHE,L,2017-05-19,
002898,002898.XSHE,*ST赛隆,XSHE,L,2017-09-12,
003004,003004.XSHE,*ST声迅,XSHE,L,2020-11-26,
003032,003032.XSHE,*ST传智,XSHE,L,2021-01-12,
300020,300020.XSHE,ST银江,XSHE,L,2009-10-30,
300029,300029.XSHE,*ST天龙,XSHE,L,2009-12-25,
300044,300044.XSHE,ST赛为,XSHE,L,2010-01-20,
300052,300052.XSHE,ST中青宝,XSHE,L,2010-02-11,
300091,300091.XSHE,*ST金灵,XSHE,L,2010-06-25,
300093,300093.XSHE,*ST金刚,XSHE,L,2010-07-08,
300096,300096.XSHE,ST易联众,XSHE,L,2010-07-28,
300097,300097.XSHE,ST智云,XSHE,L,2010-07-28,
300125,300125.XSHE,*ST聆达,XSHE,L,2010-10-13,
300147,300147.XSHE,ST香雪,XSHE,L,2010-12-15,
300152,300152.XSHE,ST新动力,XSHE,L,2010-12-29,
300159,300159.XSHE,*ST新研,XSHE,L,2011-01-07,
300165,300165.XSHE,ST天瑞,XSHE,L,2011-01-25,
300167,300167.XSHE,ST迪威迅,XSHE,L,2011-01-25,
300173,300173.XSHE,ST福能,XSHE,L,2011-02-01,
300175,300175.XSHE,ST朗源,XSHE,L,2011-02-15,
300198,300198.XSHE,ST纳川,XSHE,L,2011-04-07,
300205,300205.XSHE,*ST天喻,XSHE,L,2011-04-21,
300211,300211.XSHE,*ST亿通,XSHE,L,2011-05-05,
300225,300225.XSHE,*ST金泰,XSHE,L,2011-05-31,
300237,300237.XSHE,ST美晨,XSHE,L,2011-06-29,
300268,300268.XSHE,*ST佳沃,XSHE,L,2011-09-27,
300301,300301.XSHE,ST长方,XSHE,L,2012-03-21,
300311,300311.XSHE,ST任子行,XSHE,L,2012-04-25,
300313,300313.XSHE,*ST天山,XSHE,L,2012-04-25,
300326,300326.XSHE,ST凯利,XSHE,L,2012-06-13,
300338,300338.XSHE,ST开元,XSHE,L,2012-07-26,
300343,300343.XSHE,ST联创,XSHE,L,2012-08-01,
300344,300344.XSHE,*ST立方,XSHE,L,2012-08-01,
300366,300366.XSHE,ST创意,XSHE,L,2014-01-27,
300419,300419.XSHE,ST浩丰,XSHE,L,2015-01-22,
300460,300460.XSHE,ST惠伦,XSHE,L,2015-05-15,
300462,300462.XSHE,ST华铭,XSHE,L,2015-05-27,
300472,300472.XSHE,*ST新元,XSHE,L,2015-06-11,
300477,300477.XSHE,ST合纵,XSHE,L,2015-06-10,
300506,300506.XSHE,ST名家汇,XSHE,L,2016-03-24,
300527,300527.XSHE,ST应急,XSHE,L,2016-08-05,
300555,300555.XSHE,ST路通,XSHE,L,2016-10-18,
300561,300561.XSHE,*ST汇科,XSHE,L,2016-11-17,
300716,300716.XSHE,ST泉为,XSHE,L,2017-11-09,
300899,300899.XSHE,*ST凯鑫,XSHE,L,2020-10-16,
301288,301288.XSHE,*ST清研,XSHE,L,2022-04-22,
600079,600079.XSHG,ST人福,XSHG,L,1997-06-06,
600107,600107.XSHG,ST尔雅,XSHG,L,1997-11-06,
600130,600130.XSHG,*ST波导,XSHG,L,2000-07-06,
600136,600136.XSHG,ST明诚,XSHG,L,1998-03-03,
600165,600165.XSHG,ST宁科,XSHG,L,1998-05-29,
600169,600169.XSHG,ST太重,XSHG,L,1998-09-04,
600193,600193.XSHG,*ST创兴,XSHG,L,1999-05-27,
600228,600228.XSHG,*ST返利,XSHG,L,1999-01-19,
600238,600238.XSHG,*ST椰岛,XSHG,L,2000-01-20,
600243,600243.XSHG,*ST海华,XSHG,L,2000-11-20,
600265,600265.XSHG,ST景谷,XSHG,L,2000-08-25,
600289,600289.XSHG,ST信通,XSHG,L,2000-07-20,
600355,600355.XSHG,*ST精伦,XSHG,L,2002-06-13,
600358,600358.XSHG,ST联合,XSHG,L,2000-09-22,
600360,600360.XSHG,*ST华微,XSHG,L,2001-03-16,
600365,600365.XSHG,ST通葡,XSHG,L,2001-01-15,
600381,600381.XSHG,*ST春天,XSHG,L,2001-05-08,
600421,600421.XSHG,*ST华嵘,XSHG,L,2004-06-07,
600525,600525.XSHG,ST长园,XSHG,L,2002-12-02,
600568,600568.XSHG,ST中珠,XSHG,L,2001-05-18,
600599,600599.XSHG,*ST熊猫,XSHG,L,2001-08-28,
600608,600608.XSHG,*ST沪科,XSHG,L,1992-03-27,
600624,600624.XSHG,ST复华,XSHG,L,1993-01-05,
600636,600636.XSHG,*ST国化,XSHG,L,1993-03-16,
600696,600696.XSHG,*ST岩石,XSHG,L,1993-12-06,
600735,600735.XSHG,ST新华锦,XSHG,L,1996-07-26,
600753,600753.XSHG,*ST海钦,XSHG,L,1996-09-27,
600777,600777.XSHG,*ST新潮,XSHG,L,1996-11-21,
600892,600892.XSHG,*ST大晟,XSHG,L,1996-03-15,
603007,603007.XSHG,*ST花王,XSHG,L,2016-08-26,
603021,603021.XSHG,ST华鹏,XSHG,L,2015-04-23,
603261,603261.XSHG,*ST立航,XSHG,L,2022-03-15,
603268,603268.XSHG,*ST松发,XSHG,L,2015-03-19,
603377,603377.XSHG,ST东时,XSHG,L,2016-02-05,
603389,603389.XSHG,*ST亚振,XSHG,L,2016-12-15,
603398,603398.XSHG,*ST沐邦,XSHG,L,2015-12-09,
603429,603429.XSHG,*ST集友,XSHG,L,2017-01-24,
603517,603517.XSHG,ST绝味,XSHG,L,2017-03-17,
603557,603557.XSHG,ST起步,XSHG,L,2017-08-18,
603559,603559.XSHG,ST通脉,XSHG,L,2016-12-02,
603580,603580.XSHG,*ST艾艾,XSHG,L,2017-05-25,
603595,603595.XSHG,ST东尼,XSHG,L,2017-07-12,
603721,603721.XSHG,*ST天择,XSHG,L,2017-08-11,
603789,603789.XSHG,*ST星农,XSHG,L,2015-04-27,
603813,603813.XSHG,*ST原尚,XSHG,L,2017-09-18,
603822,603822.XSHG,ST嘉澳,XSHG,L,2016-04-28,
603825,603825.XSHG,ST华扬,XSHG,L,2017-08-02,
603828,603828.XSHG,ST柯利达,XSHG,L,2015-02-26,
603838,603838.XSHG,*ST四通,XSHG,L,2015-07-01,
603843,603843.XSHG,*ST正平,XSHG,L,2016-09-05,
603869,603869.XSHG,ST智知,XSHG,L,2015-03-26,
605081,605081.XSHG,*ST太和,XSHG,L,2021-02-09,
605199,605199.XSHG,ST葫芦娃,XSHG,L,2020-07-10,
688053,688053.XSHG,ST思科瑞,XSHG,L,2022-07-08,
688076,688076.XSHG,ST诺泰,XSHG,L,2021-05-20,
688184,688184.XSHG,ST帕瓦,XSHG,L,2022-09-19,
688287,688287.XSHG,*ST观典,XSHG,L,2022-05-25,
688511,688511.XSHG,*ST天微,XSHG,L,2021-07-30,
688646,688646.XSHG,ST逸飞,XSHG,L,2023-07-28,
